x,y,beta,gamma,rx,ry
0,0,0.0054,0.0085,0.003,0.0051
0,1,0.0087,0.0053,0.0081,0.0064
0,2,0.0017,0.0098,0.0054,0.0083
0,3,0.0069,0.0035,0.0087,0.0059
0,4,0.0047,0.002,0.0005,0.0077
0,5,0.0062,0.0058,0.0082,0.0064
0,6,0.0073,0.0086,0.0041,0.0085
0,7,0.002,0.0063,0.0051,0.0072
0,8,0.0049,0.0082,0.0024,0.0038
0,9,0.0036,0.0007,0.0001,0.0053
0,10,0.0006,0.0053,0.0035,0.0073
0,11,0.0088,0.0021,0.0031,0.0036
0,12,0.0041,0.0036,0.0014,0.0002
0,13,0.0093,0.0096,0.0065,0.0067
0,14,0.0082,0.0005,0.0051,0.0003
0,15,0.0069,0.0004,0.0075,0.0019
0,16,0.0086,0,0.0055,0.0021
0,17,0.0005,0.0056,0.0074,0.0009
1,0,0.0008,0.0009,0.0083,0.0096
1,1,0.003,0.0013,0.0033,0.007
1,2,0.005,0.0046,0.007,0.0042
1,3,0.0043,0.0036,0.001,0.0026
1,4,0.004,0.0059,0.0027,0.001
1,5,0.0063,0.0003,0.0027,0.005
1,6,0.0002,0.0083,0.0069,0.0007
1,7,0.0038,0.0045,0.0017,0.0045
1,8,0.0052,0.0098,0.0042,0.0082
1,9,0.0012,0.0076,0.0053,0.006
1,10,0.0023,0.0025,0.0003,0.0064
1,11,0.0059,0.0011,0.0089,0
1,12,0.0071,0.0017,0.0008,0.0035
1,13,0.0019,0.0036,0.0084,0.0021
1,14,0.0018,0.0054,0.0028,0.0054
1,15,0.0097,0.0045,0,0.005
1,16,0.0042,0.0043,0.0032,0.0055
1,17,0.0018,0.0083,0.0016,0.0039
2,0,0.0009,0.002,0.0002,0.0067
2,1,0.0029,0.0091,0.0065,0.0001
2,2,0.0008,0.0074,0.0035,0.0027
2,3,0.0011,0.002,0.0048,0.0027
2,4,0.0072,0.0076,0.0081,0.0069
2,5,0.0021,0.008,0.002,0.0063
2,6,0.0024,0.005,0.0019,0.004
2,7,0.0035,0.0034,0.0079,0.0044
2,8,0.0052,0.0081,0.001,0.0081
2,9,0.0072,0.0076,0.0083,0.008
2,10,0.0051,0.0017,0.0008,0.006
2,11,0.0035,0.0054,0.0087,0.0008
2,12,0.0029,0.0067,0.0077,0.005
2,13,0.0048,0.0096,0.0013,0.007
2,14,0.0047,0.003,0.0011,0.008
2,15,0.0064,0.009,0.0024,0.0017
2,16,0.0071,0.0034,0,0.0044
2,17,0.0011,0.0081,0.0023,0.006
3,0,0.0096,0.0031,0.0019,0.0032
3,1,0.0083,0.0005,0.004,0.0013
3,2,0.0073,0.0017,0.0064,0.002
3,3,0.0012,0.0075,0.0091,0.0057
3,4,0.0006,0.0003,0.0039,0.0069
3,5,0.0092,0.0063,0.0084,0.0062
3,6,0.0097,0.0082,0.0007,0.0008
3,7,0.0062,0.003,0.0066,0.0059
3,8,0.0059,0.0086,0.0091,0.0043
3,9,0.0089,0.0031,0.0054,0.0063
3,10,0.0046,0.0017,0.0082,0.0058
3,11,0.0092,0.0074,0.0016,0.0097
3,12,0.0075,0.0053,0.0065,0.0066
3,13,0.0017,0.005,0.0029,0.0014
3,14,0.0034,0.0034,0.002,0.0094
3,15,0.0062,0.0084,0.0055,0.0022
3,16,0.0069,0.0047,0.0063,0.006
3,17,0.0076,0.0019,0.0022,0.0023
4,0,0.0036,0.0005,0.0081,0.0028
4,1,0.0077,0.0096,0.0026,0.0054
4,2,0.005,0.0091,0.0021,0.0066
4,3,0.004,0.0049,0.0078,0.0072
4,4,0.0083,0.0096,0.0068,0.0047
4,5,0.0079,0.0024,0.0067,0.005
4,6,0.0069,0.003,0.0009,0.0047
4,7,0.0049,0.0031,0.007,0.0083
4,8,0.0035,0.0053,0.001,0.0013
4,9,0.0048,0.0036,0.0065,0.0096
4,10,0.0026,0.0085,0.0061,0.0065
4,11,0.0035,0.004,0.0038,0.0019
4,12,0.0035,0.0005,0.0064,0.0016
4,13,0.0029,0.0033,0.0064,0.0097
4,14,0.0063,0.0073,0.0045,0.0011
4,15,0.0005,0.0014,0.0094,0.004
4,16,0.0065,0.0004,0.0052,0.0014
4,17,0.0038,0.0018,0.0012,0.0063
